[2017-05-11T19:23:43,806][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:43,926][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:44,115][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:45,783][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:46,085][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:46,212][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:46,318][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:46,642][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:46,646][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:46,736][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:08:03,714][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:10:04,474][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:10:20,660][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:12:10,315][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:12:12,470][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:13:26,203][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:13:27,727][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:13:29,846][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:13:30,106][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T20:13:30,576][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:02:04,197][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:02:31,060][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:02:31,671][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:02:33,107][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:02:34,026][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:02:34,087][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:03:17,022][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:06:58,966][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:10:27,784][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:12:12,075][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:14:02,575][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:15:56,522][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:18:01,886][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:18:08,319][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:18:10,804][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:18:12,557][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:35,072][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:40,008][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:45,580][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:47,937][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:50,164][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:51,457][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:52,122][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:53,422][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:21:53,669][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T21:25:30,575][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
