[2017-05-12 13:45:01,881 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:01,882 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,013 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,014 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,145 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,146 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,281 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,281 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,410 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,411 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,444 - news_monitor.py:55 - INFO -   <module>() ]: Fetched 0 new news.
[2017-05-12 13:45:02,542 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,543 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,683 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,683 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,813 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,813 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:02,946 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:02,947 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
